address,transaction_amount,allocation_points
0x00000002d88f9b3f4eb303564817fff4adcde46f,2,0.065938328269442100000000000000
0x0008318de329ce50527c59c2e7bb141a4206850e,1,0.032969164134721100000000000000
0x00086707119e5ea473501861580a46e2334ad97f,1,0.032969164134721100000000000000
0x0010c09ba07bc58bd896a4e995e55c93ed7f8375,1,0.032969164134721100000000000000
0x0013a53ddb3d32059698203ac4deb9c9cf44cab6,3,0.098907492404163200000000000000
0x0017b3f7a0e201bee0d823249102e38cccce75dd,1,0.032969164134721100000000000000
0x001ad93b90c56ade086cd644cca31cb0b885eb2a,1,0.032969164134721100000000000000
0x002546438e18509065a981da6ca7c29e772ea091,1,0.032969164134721100000000000000
0x0025500cc66399cd36afe8105f903fe252b4764f,2,0.065938328269442100000000000000
0x002fdb5ca0d61b9a89f9720658a52b412bf93a4e,2,0.065938328269442100000000000000
0x0033ef4c1781169fd7fee13332887142ee6043c6,2,0.065938328269442100000000000000
0x003548e22e6924c6b3af792ede447d72c619cf13,1,0.032969164134721100000000000000
0x00380e56779746da2653639138a392d379d786ec,1,0.032969164134721100000000000000
0x00400979991f7c62f03b05555f58e74dea7a2bcd,1,0.032969164134721100000000000000
0x004179d5c77fda9f78da472e07f6fcf80b5676ff,2,0.065938328269442100000000000000
0x004853f8ba03ac618469004706cf63580bf17d6d,1,0.032969164134721100000000000000
0x004a48964848b90caea619cb20fe913bcb0cfe07,1,0.032969164134721100000000000000
0x004c731cc24e93d3d3652e6b6b177ffbc0d601e5,1,0.032969164134721100000000000000
0x0050feffa237e7f01b3a6a0c338c466f9fa298d5,2,0.065938328269442100000000000000
0x005d702e561ebfce6359cb910cedff0ae1565e9f,1,0.032969164134721100000000000000
0x0060cbd64598bc2df150012ef9f7945decef1db6,1,0.032969164134721100000000000000
0x0063fb1a8acdd914bfb9065acf104a3b7ca32380,1,0.032969164134721100000000000000
0x0066611ef8064ebc18621b8cd2972c8ae6c73369,2,0.065938328269442100000000000000
0x0067f5458207f370d1b2afa075361132f81b42f4,1,0.032969164134721100000000000000
0x0069d9cf52876bf11634b630785090e5962f7e27,2,0.065938328269442100000000000000
0x006f9a4bf1a1d359765cfe2c21ec120126d194ba,2,0.065938328269442100000000000000
0x0071606dd1020c6384e0f7fca8f6e685b0eb8894,1,0.032969164134721100000000000000
0x0077ae66b889345503a184fab9da89fa0b8792c7,1,0.032969164134721100000000000000
0x007ca3a9974d3c0ac2b01bc45e1aedeb7f9f0bc1,1,0.032969164134721100000000000000
0x00817f570d8d930dd441fd128b8b6c351c581ebc,1,0.032969164134721100000000000000
0x0083420a07225b7eeca231789e10453439c36e91,1,0.032969164134721100000000000000
0x00844d6b9c389db3d45c616a7577c6d473ffcf78,1,0.032969164134721100000000000000
0x00847739ec9f9c06e4e7912547af7c8e2290dd62,2,0.065938328269442100000000000000
0x008afeda24416d947442b669954ef4b72db60153,1,0.032969164134721100000000000000
0x008cae3378192b2c7b89e6d642c75f069e04e061,1,0.032969164134721100000000000000
0x009337864c9d84306ddad20e152eecca03b5c765,1,0.032969164134721100000000000000
0x0094e73369f6508d53f4c71024ed93993c807430,1,0.032969164134721100000000000000
0x0098a7e88441594788fae2f6f2f6e0fb0c8420d1,1,0.032969164134721100000000000000
0x009ac367a289d6be9c2dd3e7597795b59c6e475b,1,0.032969164134721100000000000000
0x009cad5b35446fabfa4ac8ab2d8015a1d265cbaa,1,0.032969164134721100000000000000
0x00a026244209fedf23d1bf23f6468e8f237a4363,1,0.032969164134721100000000000000
0x00a102fcded72315c86741a258c0ac0c1c2851e1,2,0.065938328269442100000000000000
0x00a22e41cb5ea46e643f8ec06526a9670c77ff1e,1,0.032969164134721100000000000000
0x00a5c18ea17d6696295afbd1d89f529e3d09be6c,3,0.098907492404163200000000000000
0x00ac36a1dd28e51eafb2fd7fb8127fc78939af63,1,0.032969164134721100000000000000
0x00bb4f4bbc460e0ec9949c1d838960c71848dcb3,1,0.032969164134721100000000000000
0x00c103684baf6fa313610d5c7033d2608921e57d,1,0.032969164134721100000000000000
0x00c2fe32d732ef59b68858356b3adeb75859f55a,1,0.032969164134721100000000000000
0x00cd75dcff25b70cec98238eb0df20ca484ad9db,1,0.032969164134721100000000000000
0x00d04a6678f6ccb040dd6b3fc594fa0622fbc987,1,0.032969164134721100000000000000
0x00d2af623973297e31f6fe90cf3ff2d8186c60b0,1,0.032969164134721100000000000000
0x00d58eebb6925890aee45de3952edf86fa0e0291,1,0.032969164134721100000000000000
0x00d7e92153a9b35fedfede04d19c7dc5583082a9,1,0.032969164134721100000000000000
0x00e39115e0b9e2271299b18ea95006091c4f4981,1,0.032969164134721100000000000000
0x00e687fe186474baf35a2eb377451eefa3ffa128,1,0.032969164134721100000000000000
0x00e6c301b3e7b121b88f25613e0f01be4adb361d,1,0.032969164134721100000000000000
0x00e775b6ab427dfc11193a6c816ddb092a778f2c,1,0.032969164134721100000000000000
0x00e78ad846ee208a1393b7bd443bd33e9830de9b,1,0.032969164134721100000000000000
0x00f328af942247d661a4dc93921143616c4b8c02,2,0.065938328269442100000000000000
0x00f49edb1f13cd8284ad4bff15f9dfd854b188a0,1,0.032969164134721100000000000000
0x00f4b48d3cbf672f43c272e4d4f24cf23914754d,3,0.098907492404163200000000000000
0x00f70df54bca9cf7dfc3ae43ca547fa1ccc19d27,1,0.032969164134721100000000000000
0x00fdf35f3fb37c178377021f01a02e7bba917584,2,0.065938328269442100000000000000
0x010a3c3e2a0950745b339ea4c3beaa48088b4d0d,1,0.032969164134721100000000000000
0x011af1d61c2d01890c50e2314d332a150219a486,1,0.032969164134721100000000000000
0x011fef03188211e459b899200775f0ab571a3cfd,1,0.032969164134721100000000000000
0x012903609e4c7af4824bdef61008180eb71a0ec9,1,0.032969164134721100000000000000
0x012e95ea1e2e52ae2482c0a796e3d28136b5d372,2,0.065938328269442100000000000000
0x012f281af63ff006519381252752a7f212e805b6,2,0.065938328269442100000000000000
0x0135db110cc9205650172dbd1a556eabed300b6c,2,0.065938328269442100000000000000
0x01378eb66132cfae2932e43647887990fcbf0225,1,0.032969164134721100000000000000
0x0137e76b25a8672ce5b404a08795ddd205787f35,1,0.032969164134721100000000000000
0x013959ed29c151148f0356760a282bacc8cc931a,1,0.032969164134721100000000000000
0x01451cafcd39f4f7b097c0627f496f7bb22684b2,1,0.032969164134721100000000000000
0x0145a6fbe9c060d9c83be0e074b3b749bc93a530,1,0.032969164134721100000000000000
0x0146fa3735a0127e9cbe3a523d7362b5328bac29,1,0.032969164134721100000000000000
0x014f363988461cf73fbf00756dbb8edcea37069b,1,0.032969164134721100000000000000
0x0150b7b8b8c4161497c1d9f9c0e42fcb27703f57,3,0.098907492404163200000000000000
0x01530c569df17f6bf32a43097c30cb84bca8fe01,2,0.065938328269442100000000000000
0x01546ad74cb3fc6478d9d881fbadddfe54a56c84,2,0.065938328269442100000000000000
0x0156473b3a4148ec2cd9439eefe8d98706a0c0a0,1,0.032969164134721100000000000000
0x015663bbaf45a8463e0c6fb79d67fec0639b40a1,1,0.032969164134721100000000000000
0x01581ecb1fdd52a76f94caf064a61019f28d348e,2,0.065938328269442100000000000000
0x015a9441903610a93c4f29f4fe1f0237b4ececbd,1,0.032969164134721100000000000000
0x015aba8135c9df1dabdf54ce0867c01b8b5cb141,2,0.065938328269442100000000000000
0x01632d851e988ce054ea706bf0719768626e1756,1,0.032969164134721100000000000000
0x016700997d3b1cd7cfd8faef9b2d7cdd3a8b2d3f,5,0.164845820673605000000000000000
0x016834d6aadd19161cb8e35efb5815014913f082,25,0.824229103368026000000000000000
0x01692634b352e561985874628fdf804756703723,2,0.065938328269442100000000000000
0x01694b6256b20ca4d8f269feeeae794dcfbdfe34,2,0.065938328269442100000000000000
0x0169c22dd2b637b667d12bd206937a4596928f82,1,0.032969164134721100000000000000
0x0169fa8093413dd8552f9dff2ff03fbae784fa64,1,0.032969164134721100000000000000
0x016c9a6810f34e9b4be139d001e72860bee5dead,3,0.098907492404163200000000000000
0x016ca0ef3d27678d21a2f656383d2319ab2f9b01,1,0.032969164134721100000000000000
0x017019c35e8e3ee7a679397d24b0a19e895a2f50,2,0.065938328269442100000000000000
0x01732178fe9411f1b46b526e5d52ed958ac0027e,1,0.032969164134721100000000000000
0x017733855d2b748d0c4d1c37ff4ff824ec0ca105,1,0.032969164134721100000000000000
0x017936b27c59cda2c33e81a86337db93da24ea45,14,0.461568297886095000000000000000
0x0179734e326388b6c7b4c826de129189cc14abbe,1,0.032969164134721100000000000000
0x017f61d6f5c00de4ff85c877dea2db7e25352082,1,0.032969164134721100000000000000
0x01884e3c2f5d77819392d0a17af2abdb90cf1be8,1,0.032969164134721100000000000000
0x0192f9b25b50ef158645e118cf17609dfaacd823,2,0.065938328269442100000000000000
0x0196560f4531f11cec03294bfc1d2e06810747cb,2,0.065938328269442100000000000000
0x01975013ed48ccbd745270cfb841fffedc07abbf,15,0.494537462020816000000000000000
0x0199d853692cafec876d8adb611f8c649ca8d944,3,0.098907492404163200000000000000
0x01a403e6c07449ff9dd23bf7437b7f04b68463f5,1,0.032969164134721100000000000000
0x01ac520e3dc874d3054b60e9df8a38a312022e5f,1,0.032969164134721100000000000000
0x01af213b344c135189ed047556d369835adfe7f6,1,0.032969164134721100000000000000
0x01b1b94077f2177eaf03a9de70f55d0b6eaedebe,1,0.032969164134721100000000000000
0x01b5919982aeffca7a4f86333783bf4be1cc136f,1,0.032969164134721100000000000000
0x01b8426928f6a5bff2865838b040b8af371c3c00,2,0.065938328269442100000000000000
