address,transactions_amount,allocation_points
0x001a530a6c6324aaf811446015cf5beb1dc44642,1,0.036622145626885000000000000000
0x0029032cc8667e76ac0b668f28a5c14ac7f0000b,1,0.036622145626885000000000000000
0x00322843f6b20d35449539f5ad9ccc6de2b3fbea,2,0.073244291253769900000000000000
0x00808a9250f145e5fd8febd1ba804aaa8cae649b,1,0.036622145626885000000000000000
0x00d2f5f88c4a06d5f78a7b05f40296ff0c4695a6,1,0.036622145626885000000000000000
0x00e9c13c14c06a0e7ebeb070da2020912b36d888,1,0.036622145626885000000000000000
0x0112996eaba1b2d01d0f7a3ec1970e8597c6b52b,1,0.036622145626885000000000000000
0x013556f80584938b35bf86e580512e143436ec67,1,0.036622145626885000000000000000
0x01516c2b1e9c3da24c81bdc76134843b21066be5,1,0.036622145626885000000000000000
0x0151dd14c24dbf98b5ad77ee3a9508b9ac68e39c,1,0.036622145626885000000000000000
0x015566197d36a8272e5d6aededf075ae9eb041e2,1,0.036622145626885000000000000000
0x026a8fae66a54336eb66f867a86fdc4617cc4377,2,0.073244291253769900000000000000
0x0295cff2614c2d0373d15e6835efee4327352406,1,0.036622145626885000000000000000
0x02d8c71efa667535bd376ed0ef9ff20141aaac06,1,0.036622145626885000000000000000
0x0315e72804c8d53fc15f41c603773e28ad8a4395,7,0.256355019388195000000000000000
0x032b045f06bd7520a38b0b4ad3f58dafc936e4df,1,0.036622145626885000000000000000
0x032be5e4aae04aa73218ed0669b522a4819bfaf5,1,0.036622145626885000000000000000
0x03737088484a31913b30e1a8216e2d6678087acd,1,0.036622145626885000000000000000
0x03d0e2836845dff43bf9cf1a0901523a3f5a5445,1,0.036622145626885000000000000000
0x03e17a3727d887a42a9bfe1f22eb67d179cb643f,1,0.036622145626885000000000000000
0x03f2e28b96177a81e0c075cbd01badf8a1768926,1,0.036622145626885000000000000000
0x04d9f68f244e293d52294097fad7e89a02acebb7,1,0.036622145626885000000000000000
0x058bd8502b009b2b673fe4429a6b9f3eef2f1d01,1,0.036622145626885000000000000000
0x059a36031850d2f13a6d1d5ff7182d1136d1b1d1,1,0.036622145626885000000000000000
0x05d44d857987e10f2e7ce2e3085d84eb6b99b37c,1,0.036622145626885000000000000000
0x05fef6ba3cdc4fecc3a4f36ee78cdea208b012d5,1,0.036622145626885000000000000000
